url	citing_bundled_sources	verification_status
https://html.spec.whatwg.org/multipage/media.html	sources/proposals/Demuxe_R43_R57_Experiment_Backlog.md; sources/proposals/Demuxe_R58_R69_Research_Backlog.md; sources/proposals/Demuxe_Sandbox_Experiment_Addendum.md	PRESERVED_REFERENCE_NOT_REVALIDATED_IN_THIS_PACKAGING_PASS
https://html.spec.whatwg.org/multipage/structured-data.html	sources/proposals/Demuxe_Sandbox_Experiment_Addendum.md	PRESERVED_REFERENCE_NOT_REVALIDATED_IN_THIS_PACKAGING_PASS
https://libjxl.readthedocs.io/en/latest/api_decoder.html	sources/reports/R146-R158-report.md	PRESERVED_REFERENCE_NOT_REVALIDATED_IN_THIS_PACKAGING_PASS
https://librosa.org/doc/0.11.0/_modules/librosa/core/spectrum.html	sources/proposals/Demuxe_R348_R352_Proposals.md	PRESERVED_REFERENCE_NOT_REVALIDATED_IN_THIS_PACKAGING_PASS
https://mp4ra.org/registered-types/boxes	sources/proposals/Demuxe_R58_R69_Research_Backlog.md	PRESERVED_REFERENCE_NOT_REVALIDATED_IN_THIS_PACKAGING_PASS
https://mpv.io/manual/stable/	sources/proposals/Demuxe_Routing_Optimization_Ideas.md	PRESERVED_REFERENCE_NOT_REVALIDATED_IN_THIS_PACKAGING_PASS
https://openexr.com/en/latest/TechnicalIntroduction.html	sources/proposals/Demuxe_R313_R317_Proposals.md	PRESERVED_REFERENCE_NOT_REVALIDATED_IN_THIS_PACKAGING_PASS
https://opus-codec.org/demo/opus-1.5/	sources/proposals/Demuxe_R301_R306_Proposals.md	PRESERVED_REFERENCE_NOT_REVALIDATED_IN_THIS_PACKAGING_PASS
https://opus-codec.org/docs/opus_api-1.5/group__opus__repacketizer.html	sources/proposals/R88-R101-research-backlog.md	PRESERVED_REFERENCE_NOT_REVALIDATED_IN_THIS_PACKAGING_PASS
https://opus-codec.org/docs/opus_in_isobmff.html	sources/proposals/R88-R101-research-backlog.md	PRESERVED_REFERENCE_NOT_REVALIDATED_IN_THIS_PACKAGING_PASS
https://professionalsupport.dolby.com/s/article/Dolby-Vision-Encoding-of-mezzanine-assets	sources/proposals/R88-R101-research-backlog.md	PRESERVED_REFERENCE_NOT_REVALIDATED_IN_THIS_PACKAGING_PASS
https://raw.githubusercontent.com/AOMediaCodec/av1-spec/master/06.bitstream.syntax.md	sources/proposals/Demuxe_R301_R306_Proposals.md; sources/proposals/Demuxe_R348_R352_Proposals.md	PRESERVED_REFERENCE_NOT_REVALIDATED_IN_THIS_PACKAGING_PASS
https://raw.githubusercontent.com/AOMediaCodec/av1-spec/master/07.bitstream.semantics.md	sources/proposals/Demuxe_R301_R306_Proposals.md; sources/proposals/Demuxe_R348_R352_Proposals.md; sources/proposals/R102-R115-research-backlog.md; sources/reports/R239-R246-report.md	PRESERVED_REFERENCE_NOT_REVALIDATED_IN_THIS_PACKAGING_PASS
https://raw.githubusercontent.com/AOMediaCodec/av1-spec/master/08.decoding.process.md	sources/proposals/Demuxe_R301_R306_Proposals.md; sources/proposals/R102-R115-research-backlog.md	PRESERVED_REFERENCE_NOT_REVALIDATED_IN_THIS_PACKAGING_PASS
https://raw.githubusercontent.com/AcademySoftwareFoundation/openexr/main/src/lib/OpenEXRCore/internal_b44.c	sources/proposals/Demuxe_R313_R317_Proposals.md	PRESERVED_REFERENCE_NOT_REVALIDATED_IN_THIS_PACKAGING_PASS
https://raw.githubusercontent.com/DEShawResearch/random123/main/include/Random123/philox.h	sources/reports/R239-R246-report.md	PRESERVED_REFERENCE_NOT_REVALIDATED_IN_THIS_PACKAGING_PASS
https://raw.githubusercontent.com/DEShawResearch/random123/main/tests/kat_vectors	sources/reports/R239-R246-report.md	PRESERVED_REFERENCE_NOT_REVALIDATED_IN_THIS_PACKAGING_PASS
https://raw.githubusercontent.com/FFmpeg/FFmpeg/n7.1.1/libavcodec/aac/aacdec_latm.h	sources/proposals/Demuxe_R343_R347_Proposals.md	PRESERVED_REFERENCE_NOT_REVALIDATED_IN_THIS_PACKAGING_PASS
https://raw.githubusercontent.com/FFmpeg/FFmpeg/n7.1.1/libavcodec/avcodec.h	sources/proposals/Demuxe_R338_R342_Proposals.md	PRESERVED_REFERENCE_NOT_REVALIDATED_IN_THIS_PACKAGING_PASS
https://raw.githubusercontent.com/FFmpeg/FFmpeg/n7.1.1/libavcodec/bsf/vp9_superframe_split.c	sources/proposals/Demuxe_R332_R337_Proposals.md	PRESERVED_REFERENCE_NOT_REVALIDATED_IN_THIS_PACKAGING_PASS
https://raw.githubusercontent.com/FFmpeg/FFmpeg/n7.1.1/libavcodec/ccaption_dec.c	sources/proposals/Demuxe_R313_R317_Proposals.md	PRESERVED_REFERENCE_NOT_REVALIDATED_IN_THIS_PACKAGING_PASS
https://raw.githubusercontent.com/FFmpeg/FFmpeg/n7.1.1/libavcodec/dsd.c	sources/proposals/Demuxe_R348_R352_Proposals.md	PRESERVED_REFERENCE_NOT_REVALIDATED_IN_THIS_PACKAGING_PASS
https://raw.githubusercontent.com/FFmpeg/FFmpeg/n7.1.1/libavcodec/dsd.h	sources/proposals/Demuxe_R348_R352_Proposals.md	PRESERVED_REFERENCE_NOT_REVALIDATED_IN_THIS_PACKAGING_PASS
https://raw.githubusercontent.com/FFmpeg/FFmpeg/n7.1.1/libavcodec/h264_loopfilter.c	sources/proposals/Demuxe_R289_R294_Proposals.md; sources/proposals/Demuxe_R301_R306_Proposals.md	PRESERVED_REFERENCE_NOT_REVALIDATED_IN_THIS_PACKAGING_PASS
https://raw.githubusercontent.com/FFmpeg/FFmpeg/n7.1.1/libavcodec/h264_slice.c	sources/proposals/Demuxe_R289_R294_Proposals.md	PRESERVED_REFERENCE_NOT_REVALIDATED_IN_THIS_PACKAGING_PASS
https://raw.githubusercontent.com/FFmpeg/FFmpeg/n7.1.1/libavcodec/h264dsp_template.c	sources/proposals/Demuxe_R301_R306_Proposals.md	PRESERVED_REFERENCE_NOT_REVALIDATED_IN_THIS_PACKAGING_PASS
https://raw.githubusercontent.com/FFmpeg/FFmpeg/n7.1.1/libavcodec/h264idct_template.c	sources/proposals/Demuxe_R295_R300_Proposals.md; sources/reports/R239-R246-report.md	PRESERVED_REFERENCE_NOT_REVALIDATED_IN_THIS_PACKAGING_PASS
https://raw.githubusercontent.com/FFmpeg/FFmpeg/n7.1.1/libavcodec/lzw.c	sources/proposals/Demuxe_R313_R317_Proposals.md; sources/proposals/Demuxe_R363_R366_Proposals.md	PRESERVED_REFERENCE_NOT_REVALIDATED_IN_THIS_PACKAGING_PASS
https://raw.githubusercontent.com/FFmpeg/FFmpeg/n7.1.1/libavcodec/mjpeg.h	sources/proposals/Demuxe_R332_R337_Proposals.md	PRESERVED_REFERENCE_NOT_REVALIDATED_IN_THIS_PACKAGING_PASS
https://raw.githubusercontent.com/FFmpeg/FFmpeg/n7.1.1/libavcodec/mjpegdec.c	sources/proposals/Demuxe_R332_R337_Proposals.md	PRESERVED_REFERENCE_NOT_REVALIDATED_IN_THIS_PACKAGING_PASS
https://raw.githubusercontent.com/FFmpeg/FFmpeg/n7.1.1/libavcodec/mpeg12dec.c	sources/proposals/Demuxe_R289_R294_Proposals.md; sources/proposals/Demuxe_R332_R337_Proposals.md	PRESERVED_REFERENCE_NOT_REVALIDATED_IN_THIS_PACKAGING_PASS
https://raw.githubusercontent.com/FFmpeg/FFmpeg/n7.1.1/libavcodec/packet.h	sources/proposals/Demuxe_R332_R337_Proposals.md	PRESERVED_REFERENCE_NOT_REVALIDATED_IN_THIS_PACKAGING_PASS
https://raw.githubusercontent.com/FFmpeg/FFmpeg/n7.1.1/libavcodec/pcm_tablegen.h	sources/proposals/Demuxe_R307_R312_Proposals.md	PRESERVED_REFERENCE_NOT_REVALIDATED_IN_THIS_PACKAGING_PASS
https://raw.githubusercontent.com/FFmpeg/FFmpeg/n7.1.1/libavcodec/zmbv.c	sources/proposals/Demuxe_R307_R312_Proposals.md	PRESERVED_REFERENCE_NOT_REVALIDATED_IN_THIS_PACKAGING_PASS
https://raw.githubusercontent.com/FFmpeg/FFmpeg/n7.1.1/libavfilter/af_alimiter.c	sources/proposals/Demuxe_R338_R342_Proposals.md	PRESERVED_REFERENCE_NOT_REVALIDATED_IN_THIS_PACKAGING_PASS
https://raw.githubusercontent.com/FFmpeg/FFmpeg/n7.1.1/libavfilter/af_compand.c	sources/proposals/Demuxe_R289_R294_Proposals.md; sources/proposals/Demuxe_R313_R317_Proposals.md	PRESERVED_REFERENCE_NOT_REVALIDATED_IN_THIS_PACKAGING_PASS
https://raw.githubusercontent.com/FFmpeg/FFmpeg/n7.1.1/libavfilter/f_ebur128.c	sources/proposals/Demuxe_R307_R312_Proposals.md	PRESERVED_REFERENCE_NOT_REVALIDATED_IN_THIS_PACKAGING_PASS
https://raw.githubusercontent.com/FFmpeg/FFmpeg/n7.1.1/libavformat/matroskadec.c	sources/proposals/Demuxe_R358_R362_Proposals.md	PRESERVED_REFERENCE_NOT_REVALIDATED_IN_THIS_PACKAGING_PASS
https://raw.githubusercontent.com/FFmpeg/FFmpeg/n7.1.1/libavformat/mpegts.c	sources/proposals/Demuxe_R353_R357_Proposals.md	PRESERVED_REFERENCE_NOT_REVALIDATED_IN_THIS_PACKAGING_PASS
https://raw.githubusercontent.com/FFmpeg/FFmpeg/n7.1.1/libavutil/frame.h	sources/proposals/Demuxe_R332_R337_Proposals.md	PRESERVED_REFERENCE_NOT_REVALIDATED_IN_THIS_PACKAGING_PASS
https://raw.githubusercontent.com/chromium/chromium/main/components/viz/service/display/overlay_candidate_factory.cc	sources/proposals/Demuxe_R295_R300_Proposals.md	PRESERVED_REFERENCE_NOT_REVALIDATED_IN_THIS_PACKAGING_PASS
https://raw.githubusercontent.com/chromium/chromium/main/components/viz/service/display/overlay_processor_interface.h	sources/proposals/Demuxe_R295_R300_Proposals.md	PRESERVED_REFERENCE_NOT_REVALIDATED_IN_THIS_PACKAGING_PASS
https://raw.githubusercontent.com/chromium/chromium/main/media/formats/mp4/track_run_iterator.cc	sources/proposals/R102-R115-research-backlog.md	PRESERVED_REFERENCE_NOT_REVALIDATED_IN_THIS_PACKAGING_PASS
