case,lane,round,route,video_owner,audio_owner,subtitle_owner,presentation_owner,decoder,presenter,cpu_percent,progression_rate,presented_frames,expected_frames,dropped_frames,stall,peak_summed_rss_mib,backend_render_seconds,backend_copy_seconds
rr-hevc-4k24-truehd-pgs,demuxe.hybrid,2,hybrid,browser-webcodecs,mpv-pcm-worklet,mpv,demuxe-retained-frame,webcodecs,retained,70.9699,1.0003,491,494.86,unavailable,none,1140.0,0.016,0.000
rr-hevc-4k24-truehd-pgs,demuxe.hybrid,3,hybrid,browser-webcodecs,mpv-pcm-worklet,mpv,demuxe-retained-frame,webcodecs,retained,72.1520,1.0003,495,495.84,unavailable,none,1115.9,0.018,0.000
rr-hevc-4k24-truehd-pgs,demuxe.software,1,software,ffmpeg,mpv-pcm-worklet,mpv,demuxe-retained-frame,software,rgb,128.3386,0.9998,493,492.10,unavailable,none,1365.5,5.125,0.246
rr-hevc-4k24-truehd-pgs,demuxe.software,2,software,ffmpeg,mpv-pcm-worklet,mpv,demuxe-retained-frame,software,rgb,127.9449,0.9999,495,492.05,unavailable,none,1494.9,5.119,0.245
rr-hevc-4k24-truehd-pgs,demuxe.software,3,software,ffmpeg,mpv-pcm-worklet,mpv,demuxe-retained-frame,software,rgb,113.5617,0.9989,494,492.53,unavailable,none,1444.5,5.249,0.251
rr-prores-1080p30-video,demuxe.auto,1,software,ffmpeg,mpv-pcm-worklet,mpv,demuxe-retained-frame,software,rgb,79.9217,0.9999,614,615.06,unavailable,none,1152.8,3.878,0.319
rr-prores-1080p30-video,demuxe.auto,2,software,ffmpeg,mpv-pcm-worklet,mpv,demuxe-retained-frame,software,rgb,71.5820,0.9997,615,615.21,unavailable,none,1166.8,4.006,0.323
rr-prores-1080p30-video,demuxe.auto,3,software,ffmpeg,mpv-pcm-worklet,mpv,demuxe-retained-frame,software,rgb,78.5421,1.0010,614,615.36,unavailable,none,1143.1,3.895,0.324
rr-prores-1080p30-video,demuxe.software,1,software,ffmpeg,mpv-pcm-worklet,mpv,demuxe-retained-frame,software,rgb,71.3294,0.9999,612,616.08,unavailable,none,1128.5,3.987,0.324
rr-prores-1080p30-video,demuxe.software,2,software,ffmpeg,mpv-pcm-worklet,mpv,demuxe-retained-frame,software,rgb,70.0661,1.0013,614,615.21,unavailable,none,1157.5,3.959,0.323
rr-prores-1080p30-video,demuxe.software,3,software,ffmpeg,mpv-pcm-worklet,mpv,demuxe-retained-frame,software,rgb,83.9217,1.0001,613,614.94,unavailable,none,1142.3,3.894,0.319
