  PID  %CPU COMM
  777   0.0 /System/Library/CoreServices/Dock.app/Contents/XPCServices/com.apple.dock.extra.xpc/Contents/MacOS/com.apple.dock.extra
  778   0.0 /System/Library/CoreServices/Dock.app/Contents/XPCServices/com.apple.dock.external.extra.arm64.xpc/Contents/MacOS/com.apple.dock.external.extra.arm64
  792   0.0 /System/Library/Frameworks/InputMethodKit.framework/Resources/imklaunchagent
  796   0.0 /usr/sbin/distnoted
  797   0.0 /System/Library/PrivateFrameworks/FamilyCircle.framework/Versions/A/Resources/familycircled
  801   0.0 /System/Library/PrivateFrameworks/TextInputUIMacHelper.framework/Versions/A/XPCServices/CursorUIViewService.xpc/Contents/MacOS/CursorUIViewService
  802   0.0 /System/Library/Input Methods/PressAndHold.app/Contents/PlugIns/PAH_Extension.appex/Contents/MacOS/PAH_Extension
  814   0.0 /System/Library/PrivateFrameworks/MediaRemote.framework/Support/mediaremoteagent
  815   0.0 /usr/libexec/avconferenced
  863   0.0 /System/Library/CoreServices/WiFiAgent.app/Contents/MacOS/WiFiAgent
  881   0.0 /System/Applications/Photos.app/Contents/PlugIns/PhotosReliveWidget.appex/Contents/MacOS/PhotosReliveWidget
  912   0.0 /System/Applications/Notes.app/Contents/PlugIns/com.apple.Notes.WidgetExtension.appex/Contents/MacOS/com.apple.Notes.WidgetExtension
  931   0.0 /System/Library/PrivateFrameworks/EmailDaemon.framework/Versions/A/maild
  952   0.0 /System/Applications/Shortcuts.app/Contents/PlugIns/ShortcutsWidgetExtension.appex/Contents/MacOS/ShortcutsWidgetExtension
  990   0.0 /System/Applications/Reminders.app/Contents/PlugIns/RemindersWidgetExtension.appex/Contents/MacOS/RemindersWidgetExtension
 1050   0.0 /System/Applications/Tips.app/Contents/PlugIns/TipsWidgetExtension.appex/Contents/MacOS/TipsWidgetExtension
 1130   0.0 /System/Library/CoreServices/talagentd
 1269   0.0 /System/Volumes/Preboot/Cryptexes/App/System/Applications/Safari.app/Contents/Extensions/SafariWidgetExtension.appex/Contents/MacOS/SafariWidgetExtension
 1271   0.0 /usr/sbin/distnoted
 1279   0.0 /System/Library/PrivateFrameworks/CoreSpeech.framework/corespeechd
 1288   0.0 /System/Library/Image Capture/Support/icdd
 1292   0.0 /System/Library/CoreServices/AirPlayUIAgent.app/Contents/MacOS/AirPlayUIAgent
 1293   0.1 /Users/jagatranvo/.hermes/hermes-agent/venv/bin/python
 1297   0.0 /System/Library/CoreServices/diagnostics_agent
 1298   0.0 /System/Library/CoreServices/TextInputMenuAgent.app/Contents/MacOS/TextInputMenuAgent
 1301   0.0 /System/Library/Frameworks/CryptoTokenKit.framework/ctkahp.bundle/Contents/MacOS/ctkahp
 1307   0.0 /System/Library/Frameworks/CryptoTokenKit.framework/ctkahp.bundle/Contents/MacOS/ctkahp
 1312   0.0 /System/Library/DriverExtensions/IOUserBluetoothSerialDriver.dext/IOUserBluetoothSerialDriver
 1316   0.0 /System/Library/CoreServices/UniversalControl.app/Contents/MacOS/UniversalControl
 1325   0.0 /usr/libexec/milod
 1328   0.0 /usr/sbin/distnoted
 1335   0.0 /System/Applications/Weather.app/Contents/PlugIns/WeatherWidget.appex/Contents/MacOS/WeatherWidget
 1337   0.0 /usr/sbin/distnoted
 1343   0.0 /System/Applications/News.app/Contents/PlugIns/NewsTag.appex/Contents/MacOS/NewsTag
 1345   0.0 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/mdbulkimport
 1347   0.0 /Library/Application Support/Adobe/Adobe Desktop Common/IPCBox/AdobeIPCBroker.app/Contents/MacOS/AdobeIPCBroker
